rebalance_date,pick_1,pick_2,pick_3,avg_momentum_score,portfolio_return_net,qqq_return,excess_return
2025-05-01,PLTR,APP,MSTR,0.15329367503602012,0.18329303143109424,0.08621928782885946,0.09707374360223478
2025-06-02,PLTR,AVGO,CRWD,0.09157268962918534,0.027859827775660873,0.04662418620135078,-0.01876435842568991
2025-07-01,PLTR,STX,ZS,0.10425479093119493,0.05328631360746327,0.012596192291624897,0.04069012131583837
2025-08-01,PLTR,STX,WDC,0.10402068097753954,0.06321643540712592,0.021195974250315164,0.042020461156810754
2025-09-02,PLTR,ALNY,INSM,0.10884659707948428,0.07383813982086576,0.06776510140168224,0.006073038419183524
2025-10-01,SNDK,WDC,APP,0.21212106770209613,0.2723298492090879,0.04779114954517927,0.22453869966390866
2025-11-03,SNDK,WDC,MU,0.2850582215565289,0.02491303045795834,-0.023588799928129234,0.048501830386087574
2025-12-01,SNDK,WDC,INSM,0.27692211390228083,0.09868801753097131,-0.005282181688965548,0.10397019921993686
2026-01-02,SNDK,WDC,WBD,0.25212771728454914,0.6073039125207716,0.021235642460639692,0.586068270060132
2026-02-02,SNDK,MU,WDC,0.37024372396719807,-0.04244807737773515,-0.028827439724084858,-0.013620637653650292
2026-03-02,SNDK,WDC,MU,0.36359866223717696,0.0378787537054599,-0.037894456504261154,0.07577321020972105
2026-04-01,SNDK,WDC,MU,0.23841401160148168,0.5456249122826261,0.15375404704839024,0.39187086523423587
